model_id,return_decile,samples,mse,mae,rmse,mape,accuracy,precision,recall,f1,mcc
stock_node_gwnet_noise_aug_l8,D10,450,0.0100314720418464,0.09091492501889453,0.10015723659250189,1.0937570116104205,0.10888888888888888,1.0,0.10888888888888888,0.1963927855711423,0.0
stock_node_gwnet_tail_weighted_l8,D1,450,0.00731369979339112,0.07531140549858617,0.08552017185080442,0.9183752839843589,0.7911111111111111,0.0,0.0,0.0,0.0
stock_node_gwnet_tail_weighted_l8,D2,450,0.0016498504642657743,0.03977328356200207,0.040618351323826206,0.9077090400716786,0.7577777777777778,0.0,0.0,0.0,0.0
stock_node_gwnet_tail_weighted_l8,D3,450,0.0007416100680722902,0.02655920922963153,0.027232518577470763,0.9119309596966131,0.6644444444444444,0.0,0.0,0.0,0.0
stock_node_gwnet_tail_weighted_l8,D4,450,0.0003165025401132942,0.016929044900720693,0.01779051826432536,0.8835791564703257,0.6533333333333333,0.0,0.0,0.0,0.0
stock_node_gwnet_tail_weighted_l8,D5,450,9.752182374604825e-05,0.008807062706133944,0.009875313855571794,0.8157696523991953,0.6888888888888889,0.0,0.0,0.0,0.0
stock_node_gwnet_tail_weighted_l8,D6,450,2.399481327154474e-05,0.003897780966944948,0.004898450088706094,773.1920558759774,0.5911111111111111,0.4632768361581921,0.47953216374269003,0.4712643678160919,0.13814713536468176
stock_node_gwnet_tail_weighted_l8,D7,450,9.709773395007641e-05,0.008005808853389022,0.00985381824218797,1.5648004137037461,0.4311111111111111,1.0,0.4311111111111111,0.6024844720496895,0.0
stock_node_gwnet_tail_weighted_l8,D8,450,0.0003103302281226268,0.0165880316195802,0.01761619221405769,1.0924965219111191,0.4622222222222222,1.0,0.4622222222222222,0.6322188449848024,0.0
stock_node_gwnet_tail_weighted_l8,D9,450,0.0011724781877674557,0.033231590621225056,0.034241468831921563,1.089902368659633,0.3466666666666667,1.0,0.3466666666666667,0.5148514851485149,0.0
stock_node_gwnet_tail_weighted_l8,D10,450,0.009776187830347121,0.08940084496409523,0.0988746066002142,1.0725894672469813,0.25333333333333335,1.0,0.25333333333333335,0.4042553191489362,0.0
